"ARTICOLO__C","CREATEDBYID","CREATEDDATE","GENITORE__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","PUBBLICO__C","SYSTEMMODSTAMP","TESTO__C","TIPOLOGIA__C","UTENTE__C"
"a4z0E000000EyI1QAK","0050E00000527RMQAY","2021-02-01T09:14:17.000Z","","a500E0000004jrxQAA","false","","0050E00000527RMQAY","2021-02-01T09:14:17.000Z","","","UA-00000208","0050E000000SMCWQA4","true","2021-02-01T09:14:17.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"a4z0E000000EyExQAK","0050E00000527RMQAY","2019-09-10T08:38:22.000Z","","a500E0000000W1vQAE","false","","0050E00000527RMQAY","2019-09-10T08:38:22.000Z","","","UA-00000061","0050E00000527RMQAY","true","2019-09-10T08:38:22.000Z","","Visualizzazione","a4n0E000000n1pUQAQ"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2019-10-07T10:09:56.000Z","","a500E0000000WsbQAE","false","","0050E000000SMCWQA4","2020-03-26T10:56:44.000Z","","","UA-00000086","0050E00000527RMQAY","true","2020-03-26T10:56:44.000Z","","Like",""
"a4z0E000000EyI1QAK","0050E00000527RMQAY","2019-09-12T15:50:30.000Z","","a500E0000000W7zQAE","false","","0050E00000527RMQAY","2019-09-12T15:50:30.000Z","","","UA-00000078","0050E00000527RMQAY","true","2019-09-12T15:50:30.000Z","","Visualizzazione","a4n0E000000n1bHQAQ"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2019-10-07T10:09:53.000Z","","a500E0000000WsWQAU","false","","0050E000000SMCWQA4","2020-03-26T10:56:44.000Z","","","UA-00000085","0050E00000527RMQAY","true","2020-03-26T10:56:44.000Z","","Visualizzazione",""
"","0050E00000527RMQAY","2019-08-01T09:57:40.000Z","","a500E0000000Uk2QAE","false","","0050E000000SMCWQA4","2019-09-10T08:33:08.000Z","","","UA-00000039","0050E00000527RMQAY","true","2019-09-10T08:33:08.000Z","","Visualizzazione","a4n0E000000n1bJQAQ"
"","0050E00000527RMQAY","2019-08-08T15:34:06.000Z","","a500E0000000UxGQAU","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000047","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Visualizzazione","a4n0E000000n1pUQAQ"
"a4z0E000000EyExQAK","0050E00000527RMQAY","2019-12-12T15:41:32.000Z","","a500E0000004YyDQAU","false","","0050E00000527RMQAY","2019-12-12T15:41:32.000Z","","","UA-00000133","0050E00000527RMQAY","true","2019-12-12T15:41:32.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E000000EyqhQAC","0050E00000527RMQAY","2020-01-31T11:24:46.000Z","","a500E0000004ZTJQA2","false","","0050E00000527RMQAY","2020-01-31T11:24:46.000Z","","","UA-00000163","0050E00000527RMQAY","true","2020-01-31T11:24:46.000Z","","Like","a4n0E000000Q8BuQAK"
"a4z0E000000EyI1QAK","0050E00000527RMQAY","2020-01-31T11:24:57.000Z","","a500E0000004ZTOQA2","false","","0050E00000527RMQAY","2020-01-31T11:24:57.000Z","","","UA-00000164","0050E00000527RMQAY","true","2020-01-31T11:24:57.000Z","","Like","a4n0E000000Q8BuQAK"
"a4z0E000000EyqhQAC","0050E00000527RMQAY","2020-04-22T15:54:22.000Z","","a500E000000D9ddQAC","false","","0050E00000527RMQAY","2020-04-22T15:54:22.000Z","","","UA-00000205","0050E00000527RMQAY","true","2020-04-22T15:54:22.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"a4z0E000000EyEsQAK","0050E00000527RMQAY","2019-12-12T15:41:29.000Z","","a500E0000004Yy8QAE","false","","0050E00000527RMQAY","2019-12-12T15:41:29.000Z","","","UA-00000132","0050E00000527RMQAY","true","2019-12-12T15:41:29.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E000000EyFqQAK","0050E00000527RMQAY","2019-12-12T15:41:04.000Z","","a500E0000004YxtQAE","false","","0050E00000527RMQAY","2019-12-12T15:41:04.000Z","","","UA-00000129","0050E00000527RMQAY","true","2019-12-12T15:41:04.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E000000EyI1QAK","0050E00000527RMQAY","2019-10-30T16:50:09.000Z","","a500E0000004YcgQAE","false","","0050E00000527RMQAY","2019-10-30T16:50:09.000Z","","","UA-00000117","0050E00000527RMQAY","true","2019-10-30T16:50:09.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E00000021pFQAQ","0050E00000527RMQAY","2020-04-16T13:16:28.000Z","","a500E000000D9ZMQA0","false","","0050E00000527RMQAY","2020-04-16T13:16:28.000Z","","","UA-00000173","0050E00000527RMQAY","true","2020-04-16T13:16:28.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"a4z0E000000EyqhQAC","0050E00000527RMQAY","2019-12-19T15:37:55.000Z","","a500E0000004Z0sQAE","false","","0050E00000527RMQAY","2019-12-19T15:37:55.000Z","","","UA-00000156","0050E00000527RMQAY","true","2019-12-19T15:37:55.000Z","","Visualizzazione","a4n0E000000n1bHQAQ"
"","0050E00000527RMQAY","2019-08-08T15:32:32.000Z","","a500E0000000Ux1QAE","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000044","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Visualizzazione","a4n0E000000n1pYQAQ"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2020-04-16T14:58:01.000Z","","a500E000000D9aAQAS","false","","0050E00000527RMQAY","2020-04-16T14:58:01.000Z","","","UA-00000183","0050E00000527RMQAY","true","2020-04-16T14:58:01.000Z","","Like","a4n0E000000n0wsQAA"
"","0050E00000527RMQAY","2019-07-22T12:37:03.000Z","","a500E0000000Uc3QAE","false","","0050E000000SMCWQA4","2019-09-10T08:33:08.000Z","","","UA-00000007","0050E00000527RMQAY","true","2019-09-10T08:33:08.000Z","","Visualizzazione","a4n0E000000n1bHQAQ"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2020-02-26T16:56:38.000Z","","a500E0000004aeGQAQ","false","","0050E00000527RMQAY","2020-02-26T16:56:38.000Z","","","UA-00000166","0050E00000527RMQAY","true","2020-02-26T16:56:38.000Z","","Like","a4n0E000000Q8BuQAK"
